ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005009798716928,https://ae-pic-a1.aliexpress-media.com/kf/Sb99b898178f84d74b9e2daed98b31f242.jpg,,مقياس ضغط الدم الرقمي للمعصم، جهاز قياس ضغط الدم القابل لإعادة الشحن عبر USB، مقياس شد الذراع الرقمي المحمول، مقياس ضغط الدم,MAD 365.71,MAD 128.57,64%,MAD,7.0,MAD 9.00,7.0,MAD 9.00,413,88.1%,https://s.click.aliexpress.com/e/_c3VitFbN,,,,,,
1005008474782398,https://ae-pic-a1.aliexpress-media.com/kf/S1be07d4522c549bcb4a0e12b86122b105.jpg,,شعبية ELM327 WiFi Obd2 رمز القارئ الماسح الضوئي V1.5 أدوات تشخيص السيارات كاشف أخطاء السيارة لنظام أندرويد/IOS/الكمبيوتر,MAD 179.44,MAD 37.30,79%,MAD,7.0,MAD 2.61,7.0,MAD 2.61,20609,85.9%,https://s.click.aliexpress.com/e/_c339d5nz,,,,,,
1005011619741163,https://ae-pic-a1.aliexpress-media.com/kf/Se7fefdf4272e48b0b2b2d286e07b19d94.png,,جهاز قياس ضغط الدم للذراع العلوي مع مقياس الأكسجين كهدية، أداة قياس الضغط الأوتوماتيكية، جهاز قياس ضغط الدم الرقمي مع كفة قياس الضغط,MAD 74.62,MAD 19.66,73%,MAD,7.0,MAD 1.38,7.0,MAD 1.38,19,100.0%,https://s.click.aliexpress.com/e/_c3BmicPv,,,,,,
1005006912900721,https://ae-pic-a1.aliexpress-media.com/kf/S7ce6f2caa29b481ead0f8b0e436bbb00e.jpg,,150Mbps USB صغير واي فاي محول MT7601 RTL8188 بطاقة الشبكة اللاسلكية واي فاي استقبال دونغل 802.11 b/g/n لأجهزة الكمبيوتر المحمول ويندوز 2.4G,MAD 123.63,MAD 26.03,78%,MAD,7.0,MAD 1.82,7.0,MAD 1.82,2103,87.7%,https://s.click.aliexpress.com/e/_c30V01QT,,,,,,
1005008803932986,https://ae-pic-a1.aliexpress-media.com/kf/Sb6f28bc72327460489293b6e9b03d809y.jpg,,AX900 WiFi USB محول WiFi6 بلوتوث 5.4 ثنائي النطاق 2.4G + 5.8Ghz 4 هوائي دونغل USB استقبال البطاقة اللاسلكية للكمبيوتر/الكمبيوتر المحمول,MAD 240.93,MAD 67.43,72%,MAD,7.0,MAD 4.72,7.0,MAD 4.72,4868,90.9%,https://s.click.aliexpress.com/e/_c3sJbSaP,,,,,,
1005006472999451,https://ae-pic-a1.aliexpress-media.com/kf/Sbedbb962c37142f9993c0e6664adcf90c.jpg,,مكرر واي فاي لاسلكي ، W9533 ، W9533 ، جهاز توجيه AP ، موسع ، مكبر صوت ، معزز ، WPS ، نقطة وصول طويلة المدى ، جديدة,MAD 134.35,MAD 77.25,42%,MAD,8.0,MAD 6.18,7.0,MAD 5.41,8,81.5%,https://s.click.aliexpress.com/e/_c3tM3Vw3,,,,,,
1005005412563475,https://ae-pic-a1.aliexpress-media.com/kf/S546915f974f140a2ad6143dbfbb504876.png,,هوائي تلفزيون رقمي عالي الدقة هوائي داب مضخم داخلي 200 ميل تلفزيون عالي الدقة مع مكبر للصوت VHF/UHF مجموعة جوية خارجية سريعة الاستجابة,MAD 116.88,MAD 12.49,89%,MAD,3.0,MAD 0.37,3.0,MAD 0.37,16296,83.2%,https://s.click.aliexpress.com/e/_c3wvHVGX,,,,,,
1005007812477858,https://ae-pic-a1.aliexpress-media.com/kf/S00131f6ef3284d0a9d4b2dbe7aadbd41b.jpg,,EILIECK 316L الفولاذ المقاوم للصدأ القلب الحب قلادة أساور طقم من الحلقان للنساء جديد عصري 18K مطلية بالذهب مجوهرات مقاومة للماء,MAD 38.58,MAD 10.02,74%,MAD,8.0,MAD 0.80,7.0,MAD 0.70,1246,92.1%,https://s.click.aliexpress.com/e/_c396xq95,,,,,,
1005008213059841,https://ae-pic-a1.aliexpress-media.com/kf/S397016157cda49b2a1d5315813e3f7d5S.jpg,,محاكي شاشة افتراضية 4K EDID HDMI-compatible2.0 محول عرض شبح مقطوع الرأس يدعم ما يصل إلى 4k@60 هرتز 1080@120 هرتز,MAD 34.95,MAD 10.02,71%,MAD,10.0,MAD 1.00,3.0,MAD 0.30,332,99.4%,https://s.click.aliexpress.com/e/_c4crtXsX,,,,,,
1005009776060724,https://ae-pic-a1.aliexpress-media.com/kf/S55f7ef3171df40b8b3ee66946dc9d6cdj.jpg,,المرأة منتصف أنبوب اليوغا جوارب رياضية مرونة عالية المضادة للانزلاق الجري الجوارب مريحة تنفس الصالة الرياضية تجريب الأحذية,MAD 51.64,MAD 10.02,80%,MAD,7.0,MAD 0.70,7.0,MAD 0.70,253,96.6%,https://s.click.aliexpress.com/e/_c3e9ckFh,,,,,,
1005006788023326,https://ae-pic-a1.aliexpress-media.com/kf/S7b4e7067f8174ad1879b7c226f773131z.jpg,,طقم أقراط وقلادة كريستال سوداء زرقاء من الفيوان للنساء ، مجوهرات فاخرة ، إكسسوارات حفلات الزفاف,MAD 57.20,MAD 10.02,82%,MAD,7.0,MAD 0.70,7.0,MAD 0.70,17,100.0%,https://s.click.aliexpress.com/e/_c2u0zWXt,,,,,,
1005009477543011,https://ae-pic-a1.aliexpress-media.com/kf/S432718aa9e6947d09999a6d823c9fc68r.jpg,,300Mbps واي فاي ريبيتر واي فاي مكبر للصوت اللاسلكية واي فاي مكرر موسع 802.11N الداعم مكرر مكبر للصوت,MAD 234.28,MAD 64.18,72%,MAD,7.0,MAD 4.49,7.0,MAD 4.49,955,89.8%,https://s.click.aliexpress.com/e/_c42aePRl,,,,,,
1005005378015241,https://ae-pic-a1.aliexpress-media.com/kf/Sb7af96fa1eb04e7199bf343e11682e45x.jpg,,نظارات شمسية نسائية مربعة بإطار كبير متدرج ، نظارات ركوب الدراجات ، نظارات شمسية للأماكن الخارجية ، كبيرة الحجم ، موضة ،,MAD 41.51,MAD 10.02,75%,MAD,7.0,MAD 0.70,7.0,MAD 0.70,248,92.2%,https://s.click.aliexpress.com/e/_c2QXqJCf,,,,,,
1005008046254742,https://ae-pic-a1.aliexpress-media.com/kf/S51cac0da8bf644cab3fa9bdf36b49c154.jpg,,E27 60 واط لاسلكي للتحكم عن بعد الذكية الموقت التبديل حامل مصباح 110 فولت 220 فولت منزل متعدد مفتاح الإضاءة غرفة الطفل غرفة نوم الموقت التبديل,MAD 169.92,MAD 42.83,74%,MAD,7.0,MAD 3.00,7.0,MAD 3.00,7782,94.4%,https://s.click.aliexpress.com/e/_c38k3F2F,,,,,,
1005007168122460,https://ae-pic-a1.aliexpress-media.com/kf/S19c20dabb57a4050b4c87dd8a516b07b7.jpg,,GANEMLY 316L الفولاذ المقاوم للصدأ الأخضر كريستال البرسيم سوار الإسورة للنساء موضة المعصم سلسلة مجوهرات مقاومة للماء هدية بيجو,MAD 34.04,MAD 10.02,70%,MAD,8.0,MAD 0.80,7.0,MAD 0.70,278,90.3%,https://s.click.aliexpress.com/e/_c3Fb9u1H,,,,,,
